rank,city,avg,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
351,"Burhanpur, India",84,116,103,85,78,62,64,56,67,71,95,95,121
352,"Jasdan, India",84,124,153,98,72,67,57,46,46,46,100,100,96
353,"Mae Sai, Thailand",84,63,139,246,283,53,25,20,23,25,25,51,54
354,"Dogubayazit, Turkey",83,297,75,64,27,34,29,29,40,38,39,138,191
355,"Anshan, China",83,102,120,120,126,70,58,50,47,58,72,74,98
356,"Chaoyang, China",83,113,95,144,124,82,57,57,46,55,71,62,91
357,"Hohhot, China",83,120,75,123,141,81,46,42,40,44,73,74,133
358,"Thai Nguyen, Vietnam",83,145,140,133,98,77,79,62,61,1,2,113,90
359,"Armur, India",83,105,100,86,81,83,79,56,74,64,93,82,98
360,"Chittaurgarh, India",83,116,91,73,73,83,67,63,73,58,83,111,99
361,"Kovvur, India",83,152,101,99,71,63,69,26,49,34,89,117,122
362,"Ramhormoz, Iran",83,40,64,35,41,80,100,100,83,136,129,112,78
363,"Karachi, Pakistan",83,151,91,72,38,33,38,41,41,52,67,193,173
364,"Amarkantak, India",82,77,53,58,37,45,38,113,130,130,141,72,92
365,"Jalpaiguri, India",82,201,148,113,91,59,49,32,37,34,53,88,75
366,"Nandod, India",82,119,120,92,72,75,62,52,48,46,87,117,95
367,"Nidadavole, India",82,147,102,96,72,64,71,26,48,33,88,115,118
